Year,race,Median,LCL,UCL,N_of_children,Events
Years: 2015 - 2016,racea,4,4,4,2822,30099
Years: 2015 - 2016,raceb,4,4,4,25085,26577
Years: 2015 - 2016,racew,4,4,4,101793,14841
Years: 2015 - 2016,racei,4,4,4,4556,29804
Years: 2015 - 2016,racep,4,4,4,1443,30314
Years: 2016 - 2017,racea,4,4,4,3112,30517
Years: 2016 - 2017,raceb,4,4,4,25888,26997
Years: 2016 - 2017,racew,4,4,4,104830,14914
Years: 2016 - 2017,racei,4,4,4,4925,30203
Years: 2016 - 2017,racep,4,4,4,1711,30699
Years: 2017 - 2018,racea,4,4,4,1712,28404
Years: 2017 - 2018,raceb,4,4,4,23062,25009
Years: 2017 - 2018,racew,4,4,4,101372,13125
Years: 2017 - 2018,racei,4,4,4,3446,28122
Years: 2017 - 2018,racep,4,4,4,1560,28458
Years: 2018 - 2019,racea,4,4,4,3162,27496
Years: 2018 - 2019,raceb,4,4,4,29044,23508
Years: 2018 - 2019,racew,4,4,4,124427,9157
Years: 2018 - 2019,racei,4,4,4,6097,27028
Years: 2018 - 2019,racep,4,4,4,1783,27717
